,type,pleasantness_score,presence_score,subgroup
0,count,40.0,40.0,Body odours
1,mean,-0.04552669529663689,-0.1460786437626905,Body odours
2,std,0.19658561284429849,0.24185562888942286,Body odours
3,min,-0.3535533905932738,-0.6464466094067264,Body odours
4,25%,-0.20710678118654754,-0.33080582617584087,Body odours
5,50%,-0.07322330470336313,-0.05805826175840781,Body odours
6,75%,0.10355339059327377,0.0,Body odours
7,max,0.5,0.5,Body odours
8,median,-0.07322330470336313,-0.05805826175840781,Body odours
9,variance,0.038645903177368414,0.05849414522549823,Body odours
10,skewness,0.5230230202316306,0.03220974905157908,Body odours
11,kurtosis,-0.14124427763912317,-0.07073050343933707,Body odours
12,count,15.0,15.0,Cleaning products
13,mean,0.2715482203135576,0.0774705379690138,Cleaning products
14,std,0.14145172379347085,0.14305992239702056,Cleaning products
15,min,0.07322330470336313,-0.18933982822017875,Cleaning products
16,25%,0.1678932188134525,0.00888347648318439,Cleaning products
17,50%,0.28033008588991065,0.06066017177982127,Cleaning products
18,75%,0.3383883476483185,0.19194173824159222,Cleaning products
19,max,0.5732233047033631,0.2803300858899107,Cleaning products
20,median,0.28033008588991065,0.06066017177982127,Cleaning products
21,variance,0.020008590164144364,0.020466141396241543,Cleaning products
22,skewness,0.3948244402833911,-0.28152690006020176,Cleaning products
23,kurtosis,-0.06795700625082945,-0.6161550887288754,Cleaning products
24,count,8.0,8.0,Edible food
25,mean,0.17076456543960197,0.08903882515367181,Edible food
26,std,0.23794215265547153,0.1553648150389071,Edible food
27,min,-0.10355339059327377,-0.14644660940672627,Edible food
28,25%,0.022747564417432982,-0.003140783230885461,Edible food
29,50%,0.05805826175840781,0.11871843353822908,Edible food
30,75%,0.3642766952966369,0.20710678118654754,Edible food
31,max,0.5732233047033631,0.2803300858899107,Edible food
32,median,0.05805826175840781,0.11871843353822908,Edible food
33,variance,0.05661646801031972,0.024138225752073812,Edible food
34,skewness,0.726456276550908,-0.48049440241304214,Edible food
35,kurtosis,-0.9204424051598674,-1.2220629311805702,Edible food
36,count,20.0,20.0,Green elements
37,mean,0.3687184335382291,-0.31338834764831847,Green elements
38,std,0.15456230589580747,0.16440421622797707,Green elements
39,min,0.07322330470336313,-0.5000000000000001,Green elements
40,25%,0.28033008588991065,-0.426776695296637,Green elements
41,50%,0.34727182413150287,-0.3535533905932738,Green elements
42,75%,0.46468930265902525,-0.2897524355825671,Green elements
43,max,0.6338834764831845,0.20710678118654754,Green elements
44,median,0.34727182413150287,-0.3535533905932738,Green elements
45,variance,0.02388950640382916,0.02702874631353544,Green elements
46,skewness,0.08366658611971034,2.0933555123120664,Green elements
47,kurtosis,-0.2544570296454127,4.927561668939617,Green elements
48,count,360.0,360.0,No smell
49,mean,0.19402960624874394,-0.17062292049543046,No smell
50,std,0.24778920819060005,0.20236087646580464,No smell
51,min,-0.4571067811865476,-0.7500000000000001,No smell
52,25%,0.0,-0.32322330470336313,No smell
53,50%,0.1767766952966369,-0.10355339059327377,No smell
54,75%,0.3535533905932738,0.0,No smell
55,max,1.0,0.4142135623730951,No smell
56,median,0.1767766952966369,-0.10355339059327377,No smell
57,variance,0.06139949169572453,0.040949924324008645,No smell
58,skewness,0.6740621987473285,-0.6862311869941277,No smell
59,kurtosis,0.32671942688873346,-0.035100030055861264,No smell
60,count,39.0,39.0,Stationery
61,mean,0.09019915264016332,-0.0010216638873977795,Stationery
62,std,0.16403482944836315,0.1779358926195274,Stationery
63,min,-0.3535533905932738,-0.3535533905932738,Stationery
64,25%,0.0,-0.08838834764831846,Stationery
65,50%,0.10355339059327376,0.0,Stationery
66,75%,0.1767766952966369,0.13388347648318444,Stationery
67,max,0.5732233047033631,0.28033008588991065,Stationery
68,median,0.10355339059327376,0.0,Stationery
69,variance,0.026907425272153583,0.031661181882307994,Stationery
70,skewness,0.056742957416099755,-0.4533315400786423,Stationery
71,kurtosis,1.5848746307430783,-0.47117929977666506,Stationery
