ResearcherID;RecordID;LocationID;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;How long have you been in your office without leaving?;How many people are currently present in your office room?;How would you rate your current mood?;In this moment, how productive do you feel?;Smell source
1;P_12;Bolzano;3;3;3;2;3;4;3;4;Less than 3 minutes;3;Bad;Unproductive;No smell
1;P_15;Bolzano;3;3;3;3;3;3;3;3;31-60 minutes;2;Neutral;Productive;No smell
1;P_11;Bolzano;5;3;3;4;1;3;1;1;3-30 minutes;2;Neutral;Slighlty productive;No smell
1;P_16;Bolzano;3;2;5;2;2;4;2;3;31-60 minutes;2;Neutral;Productive;Green elements
1;P_11;Bolzano;5;3;3;4;1;3;1;1;3-30 minutes;1;Neutral;Slighlty productive;No smell
1;P_01;Bolzano;3;2;2;2;2;4;1;4;61-120 minutes;1;Neutral;Unproductive;No smell
1;P_01;Bolzano;4;4;4;2;2;4;1;5;61-120 minutes;1;Neutral;Slightly unproductive;No smell
1;P_01;Bolzano;4;4;4;5;2;2;2;2;3-30 minutes;1;Good;Slighlty productive;Edible food
1;P_01;Bolzano;3;2;3;2;2;4;1;5;61-120 minutes;1;Good;Slightly unproductive;No smell
1;P_11;Bolzano;5;3;3;4;1;3;1;1;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;5;3;3;4;1;3;1;1;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;5;3;3;3;1;3;3;1;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_12;Bolzano;3;3;3;2;2;4;2;4;61-120 minutes;1;Bad;Unproductive;No smell
1;P_16;Bolzano;4;2;4;3;1;4;2;3;31-60 minutes;3;Neutral;Slighlty productive;Green elements
1;P_11;Bolzano;4;3;3;3;1;3;1;1;61-120 minutes;2;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;5;3;3;4;1;3;1;1;31-60 minutes;2;Neutral;Slighlty productive;No smell
1;P_16;Bolzano;5;2;4;2;1;4;2;2;31-60 minutes;2;Neutral;Productive;Green elements
1;P_16;Bolzano;5;2;4;2;2;4;2;2;31-60 minutes;2;Neutral;Productive;Green elements
1;P_16;Bolzano;4;2;4;2;2;4;2;3;31-60 minutes;1;Neutral;Productive;Green elements
1;P_11;Bolzano;5;3;3;4;1;3;1;1;31-60 minutes;3;Neutral;Slighlty productive;No smell
1;P_12;Bolzano;2;2;3;2;2;4;2;4;More than 2 hours;1;Bad;Slighlty productive;No smell
1;P_11;Bolzano;4;3;3;3;1;3;1;1;61-120 minutes;4;Neutral;Slighlty productive;No smell
1;P_16;Bolzano;5;2;5;2;1;4;2;2;31-60 minutes;2;Neutral;Productive;Green elements
1;P_11;Bolzano;4;3;3;3;1;3;1;1;31-60 minutes;4;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;4;3;3;3;1;3;1;1;61-120 minutes;3;Neutral;Slighlty productive;No smell
1;P_12;Bolzano;2;2;2;2;2;4;2;4;3-30 minutes;3;Neutral;Slightly unproductive;No smell
1;P_16;Bolzano;4;2;4;2;2;4;2;2;61-120 minutes;1;Neutral;Productive;Green elements
1;P_11;Bolzano;5;3;3;4;1;3;1;1;31-60 minutes;2;Neutral;Slighlty productive;No smell
1;P_16;Bolzano;3;2;4;2;2;4;2;3;61-120 minutes;1;Neutral;Productive;No smell
1;P_16;Bolzano;4;2;4;3;2;4;2;3;31-60 minutes;1;Neutral;Productive;No smell
1;P_16;Bolzano;4;2;4;2;2;4;2;3;61-120 minutes;1;Neutral;Productive;Green elements
1;P_11;Bolzano;5;3;3;4;1;3;1;1;61-120 minutes;1;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;4;3;3;4;1;3;1;1;31-60 minutes;2;Neutral;Slighlty productive;No smell
1;P_11;Bolzano;5;3;3;3;1;3;1;1;31-60 minutes;3;Neutral;Slighlty productive;No smell
1;P_12;Bolzano;2;2;3;2;2;3;2;4;More than 2 hours;2;Good;Productive;No smell
1;P_12;Bolzano;3;2;4;2;2;2;2;4;61-120 minutes;3;Neutral;Slightly unproductive;Green elements
1;P_11;Bolzano;5;3;3;4;1;3;1;1;31-60 minutes;3;Neutral;Slighlty productive;No smell
