RecordID,ResearcherID,ParticipantID,Please enter your current Workstation ID.,"How long have you been in your office without leaving? (e.g., since taking a break or going to the bathroom) ",How many people are currently present in your office room?,Edible Food,Rotten Food,Cleaning Products,Stationery,Green Elements,Body Odours,pleasant,present,light,engaging,unpleasant,absent,overpowering,detached,Natural,Artificial
0,1,Unipi_07,D3.1.21.01,31-60 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,3,2,2,3,2,2,4,2
1,1,Eurac_04,D3.1.13b.03,3-30 minutes,4,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,3,2,2,3,2
2,1,Unipi_13,D3.1.21.01,31-60 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,3,3,3,2,2,2,2,3,2,3
3,1,Unipi_13,D3.1.21.01,31-60 minutes,2,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,2,4
4,1,Unipi_13,D3.1.21.01,31-60 minutes,2,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,3,3,3,2,2,3,2,2,2,3
5,1,Unipi_13,D3.1.21.01,61-120 minutes,3,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,3,3,3,3,3,4,2,3,2,4
6,1,Unipi_04,D3.1.21.01,More than 2 hours,2,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,2,4,4,3,3,2,4,3,2,3
7,1,Unipi_03,D3.1.21.01,3-30 minutes,2,0 Not available,0 Not available,0 Not available,1 Not at all,0 Not available,2,2,4,2,3,4,2,4,4,4,2
8,1,Unipi_04,D3.1.21.01,61-120 minutes,2,1 Not at all,1 Not at all,2,2,1 Not at all,1 Not at all,3,3,2,3,3,2,2,3,2,3
9,1,Unipi_03,D3.1.21.01,31-60 minutes,2,0 Not available,0 Not available,0 Not available,1 Not at all,0 Not available,2,2,4,4,4,4,2,2,3,4,2
10,1,Unipi_04,D3.1.21.01,61-120 minutes,2,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,3,4,4,2,2,3,1,4,2,3
11,1,Unipi_03,D3.1.21.01,3-30 minutes,2,0 Not available,0 Not available,0 Not available,1 Not at all,0 Not available,2,2,4,4,3,4,3,3,3,4,2
12,1,Unipi_04,D3.1.21.01,61-120 minutes,2,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,3,4,3,3,3,2,3,3,2,4
13,1,Unipi_04,D3.1.21.01,61-120 minutes,2,0 Not available,0 Not available,0 Not available,2,1 Not at all,1 Not at all,3,3,4,3,2,3,3,3,2,4
14,1,Unipi_03,D3.1.21.01,61-120 minutes,2,0 Not available,0 Not available,0 Not available,1 Not at all,0 Not available,1 Not at all,4,3,4,3,2,4,2,3,4,2
15,1,Unipi_07,D3.1.21.01,31-60 minutes,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,2,4,3,2,4,2,4,3,2
16,1,Unipi_06,D3.1.21.01,31-60 minutes,4,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,3,3
17,1,Unipi_07,D3.1.21.01,31-60 minutes,3,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,3,3
18,1,Unipi_06,D3.1.21.01,3-30 minutes,4,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,3,3
19,1,Eurac_02,D3.1.20.03,61-120 minutes,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,2,4,4,1,4,2,3,3,1
20,1,Unipi_07,D3.1.21.01,31-60 minutes,More than 5,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,3,3
21,1,Unipi_06,D3.1.21.01,31-60 minutes,5,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,3,3,3,3,3,3,3,3,3,3
22,1,Unipi_07,D3.1.21.01,31-60 minutes,4,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,3,2,4,2,3
23,1,Unipi_06,D3.1.21.01,31-60 minutes,4,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,3,4
24,1,Eurac_04,D3.1.13b.03,61-120 minutes,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,2,4,3,2,3,2,2,3,2
25,1,Eurac_02,D3.1.20.03,61-120 minutes,3,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,4,2,2,4,2
26,1,Eurac_04,D3.1.13b.03,3-30 minutes,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,2,4,3,2,2,2,2,3,2
27,1,Unipi_05,D3.1.21.01,More than 2 hours,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,2,3,4,2,3,3,3
28,1,Unipi_05,D3.1.21.01,More than 2 hours,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,2,4,2,3,3,3
29,1,Eurac_02,D3.1.20.03,61-120 minutes,3,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,4,2,4,2,3,4,2
30,1,Eurac_04,D3.1.13b.03,31-60 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,2,4,3,2,3,2,3,3,3
31,1,Unipi_05,D3.1.21.01,61-120 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,2,3,3,4
32,1,Unipi_05,D3.1.21.01,31-60 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,3,3,2,3,4,2,3,2,4
34,1,Eurac_02,D3.1.20.03,61-120 minutes,3,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,5,3,4,4,2,4,2,2,4,1
35,1,Eurac_04,D3.1.13b.03,3-30 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,3,2,2,3,3
36,1,Eurac_02,D3.1.20.03,61-120 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,4,2,3,4,2
37,1,Eurac_02,D3.1.20.03,61-120 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,4,3,3,3,2
38,1,Eurac_02,D3.1.20.03,31-60 minutes,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,3,3,3,3,3,3,3,3,3,3
39,1,Eurac_04,D3.1.18.02,61-120 minutes,1 (just me),1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,4,3,4,3,2,3,2,2,4,3
40,1,Eurac_02,D3.1.20.03,61-120 minutes,2,2,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,2,3,4,3,3,3,3,3,4,2
41,1,Eurac_04,D3.1.18.02,31-60 minutes,1 (just me),0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,4,3,4,3,3,4,3,3,4,3
