ResearcherID,RecordID,LocationID,Please enter your current Workstation ID.,,"How long have you been in your office without leaving? (e.g., since taking a break or going to the bathroom) ",How many people are currently present in your office room?,What level of clothing best describes how you are currently dressed?,How would you rate your current mood?,"In this moment, how productive do you feel?","Please, rate your current thermal sensation:","In this moment, how satisfied or dissatisfied are you with the thermal environment?","In this moment, how satisfied or dissatisfied are you with the indoor air quality?","Please, rate the current office air quality:",Edible Food,Rotten Food,Cleaning products,Stationery,Green elements,Body odours,Other (please specify),pleasant,present,light,engaging,unpleasant,absent,overpowering,detached,natural,artificial,"In this moment, how satisfied or dissatisfied are you with the acoustic environment?"
Giulia,Eurac_14,Bolzano,D3.1.21.01,,More than 2 hours,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Very productive,Neutral,Very dissatisfied,Very satisfied,Fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,3,3,3,3,3,3,3,3,Very satisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,61-120 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Very productive,Slightly warm,Slightly satisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Very satisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,61-120 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Productive,Slightly warm,Slightly satisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,Less than 3 minutes,3,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Productive,Slightly warm,Slightly satisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,4,1,1,4,1,2,2,2,Satisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,3-30 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Productive,Hot,Dissatisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,31-60 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Productive,Neutral,Satisfied,Slightly satisfied,Neutral,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,4,1,1,4,1,2,2,2,Very satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,3-30 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Slighlty productive,Neutral,Very satisfied,Satisfied,Slightly fresh,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,4,1,1,4,1,3,2,2,Satisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slightly unproductive,Neutral,Satisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Neutral,Slightly satisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Productive,Slightly warm,Slightly satisfied,Neither satisfied nor dissatisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
