Time;Participant_ID;Stimulus_ID;Smell_detected;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;Acceptability;Odour_intensity;Hedonic_tone;Smelliness;Satisfaction;Appropriatness
2025/10/01 11:23:03 AM CET;P01;C03;mint;4;4;4;3;1;1;1;2;Clearly acceptable;Weak;3;Not smelly;Satisfied;Very
2025/10/01 11:39:20 AM CET;P01;C03;nothing;4;3;4;2;2;4;1;2;Clearly acceptable;Very week;0;Not smelly;Satisfied;Slightly
2025/10/01 11:51:20 AM CET;P01;C04;nothing;4;3;4;3;3;3;3;3;Just acceptable;Weak;0;Not smelly;Satisfied;Moderately
2025/10/01 12:02:19 PM CET;P01;C06;mint;4;4;4;4;4;4;4;4;Just unacceptable;Distinct;0;Smelly;Satisfied;Moderately
2025/10/01 12:11:19 PM CET;P01;C06;nl;4;4;4;4;4;4;4;4;Just unacceptable;Weak;0;Slightly smelly;Unsatisfied;Moderately
2025/10/01 12:19:36 PM CET;P01;C08;juk;4;4;4;4;4;4;4;4;Just acceptable;Distinct;-2;Smelly;Unsatisfied;Moderately
2025/10/01 2:09:25 PM CET;P01;C09;nothing;4;4;4;4;4;4;4;4;Just unacceptable;Distinct;-2;Slightly smelly;Satisfied;Moderately
2025/10/01 3:00:47 PM CET;P01;C01;fhf;3;3;3;3;3;3;3;3;Just acceptable;Very strong;3;Slightly smelly;Satisfied;Not at all
2025/10/01 3:07:18 PM CET;P01;C02;mnbjhj;3;3;3;3;3;3;3;3;Just acceptable;Very week;-1;Slightly smelly;Unsatisfied;Slightly
2025/10/03 8:33:59 AM CET;P05;C02;asdasd;3;3;3;3;3;3;3;3;Just unacceptable;Strong;-2;Smelly;Unsatisfied;Moderately
2025/10/09 2:52:03 PM CET;P16;C08;books;4;4;5;3;2;1;4;3;Just acceptable;Strong;1;Very smelly;Satisfied;Moderately
2025/10/09 3:09:14 PM CET;P16;C01;mint, fresh;3;4;3;3;3;1;5;3;Just acceptable;Extremely strong;2;Very smelly;Satisfied;Slightly
